11945,10746,11371,9367.5,10567,11253,9566.3,10314,10735,10315,11752,10997,10095,9151.6,10076,10071,9271.8,10114,9468,10096,9479.1,11356,10942,9463,12419,12691,13895,13542,10658,11923,8220.2,9977,7291.7,9810.8,12711,10722,10883,10538,10367,9657.2,10040,11987,11277,12068,11928,14973,11662,13362,11611,10511,11260,11111,9479.5,10126,11242,11163,10133,9968,10567,11228,10551,9609.4,9448,9043.9,8728.3,10042,9406.5,9019.4,9133.9,9175.4,9376.6,10999,11728,9319,9403.4,12556,10575,12719,8680.6,10528,8793.8,8766.9,12191,12699,13998,11745,10782,14086,10089,8882.8,8323.6,11402,9661.1,13012,11951,12768,15253,13451,11839,10762
11963,10691,11289,9378.8,10562,11146,9562.2,10307,10694,10273,11723,11037,10042,9126.4,10042,10079,9252.8,10102,9453.6,10062,9490,11331,10900,9455.3,12422,12649,13873,13456,10596,11894,8127.2,9910.3,7277.3,9836.9,12677,10677,10823,10542,10429,9657.5,10023,11980,11260,12029,11924,14952,11644,13334,11597,10471,11202,11073,9489.9,10126,11236,11097,10102,9935.1,10496,11147,10467,9543.8,9366.9,8997.2,8685,9973,9385.7,8989.9,9098.4,9179.5,9361.9,10979,11701,9308.6,9381.8,12487,10538,12699,8587.4,10516,8775.8,8723.4,12161,12684,13940,11710,10843,14094,10066,8858.9,8293.6,11416,9668,13040,11943,12738,15201,13416,11664,10717
11955,10749,11361,9385.1,10599,11281,9550.4,10332,10764,10327,11819,11080,10037,9153.3,10053,10067,9273.5,10090,9516.6,10064,9508.1,11360,10957,9438.6,12418,12657,13931,13475,10615,11918,8143.4,9972.9,7344.8,9870.9,12720,10712,10879,10569,10476,9674.8,10083,11926,11294,12016,11909,14980,11723,13360,11590,10512,11185,11078,9453.5,10163,11270,11148,10131,9971.9,10549,11163,10541,9576.5,9423.6,9015.9,8731,9984.9,9372,9045.7,9095,9170.1,9379.4,10971,11709,9322.7,9378.5,12528,10505,12681,8614.2,10515,8843,8789.7,12242,12699,14016,11813,10844,14130,10083,8926.8,8317.5,11438,9689,13072,11926,12764,15235,13463,11710,10721
11870,10729,11234,9369.1,10581,11214,9516.3,10289,10670,10282,11791,11031,10062,9121.7,10033,10015,9187.3,9997.9,9417.6,9963.4,9444,11274,10831,9420.9,12351,12647,13805,13429,10516,11828,8118.4,9956.8,7277.8,9766.3,12628,10600,10703,10576,10491,9657.9,10002,11930,11274,11974,11899,14925,11653,13274,11560,10415,11156,11044,9470.6,10151,11240,11071,10093,9945.1,10554,11175,10511,9610.1,9399.9,8994.3,8684.9,9982.5,9363.1,8968.5,9057.1,9110.4,9301,10949,11592,9297.3,9380.3,12521,10448,12638,8588.9,10548,8809.5,8758.5,12238,12684,13862,11741,10784,14037,10024,8896.4,8315.8,11439,9653.9,13001,11933,12677,15188,13371,11672,10707
12016,10677,11227,9368.9,10545,11109,9499.6,10265,10678,10313,11729,11026,10040,9129.1,10048,9990.5,9238.5,10012,9450.6,10038,9442.4,11310,10860,9424.8,12374,12623,13850,13511,10544,11870,8118.3,9975.4,7310.2,9832.1,12697,10664,10801,10525,10470,9682.6,10041,11950,11259,11972,11896,14958,11714,13353,11559,10513,11153,11028,9446,10167,11236,11043,10085,9942.3,10517,11158,10533,9604.2,9357.6,8998.4,8708.4,9980.1,9379,9003.5,9123.7,9100.1,9321.9,10995,11657,9296.5,9389.1,12561,10545,12649,8632.8,10547,8868.4,8818.9,12233,12709,13958,11790,10990,14105,10094,8962,8381.6,11458,9676.3,13032,11998,12749,15244,13451,11768,10792
11901,10645,11261,9340.9,10533,11207,9476.9,10223,10660,10310,11852,11033,10082,9133.7,10020,10005,9202.3,9992.3,9444.7,10038,9447.9,11316,10834,9426,12382,12626,13789,13496,10588,11844,8156.5,9922.6,7294.6,9849.5,12656,10731,10777,10557,10460,9646.9,10069,11899,11263,11965,11860,14936,11689,13341,11643,10497,11159,11035,9441.5,10138,11242,11057,10041,9906.1,10542,11250,10576,9658.2,9405.6,8990.9,8676.4,9963.9,9377.9,9003.3,9108.2,9124.6,9365.5,10966,11660,9340.4,9388.6,12552,10552,12663,8612.8,10527,8901.7,8855.3,12249,12689,13942,11803,10870,14119,10075,8975.7,8381.6,11403,9695.5,13077,11958,12715,15255,13474,11768,10800
12017,10653,11194,9321.1,10542,11174,9467.7,10202,10668,10316,11802,11025,10059,9100.9,10013,10005,9204.5,9988,9416.7,9998.2,9400,11320,10848,9412.3,12422,12590,13750,13453,10551,11854,8148.1,9935.8,7323.3,9817.5,12697,10657,10774,10514,10416,9667.8,10033,11992,11244,11954,11896,14924,11633,13313,11635,10486,11175,10996,9424,10103,11203,11014,10013,9901.9,10531,11186,10551,9653.4,9397.8,9004.6,8643.1,9985.3,9360.1,9018.4,9093.2,9097.7,9319.8,10964,11640,9299.6,9372.9,12521,10474,12627,8632,10520,8865.5,8823.5,12264,12672,13926,11773,10874,14081,10053,8934.4,8359.3,11388,9666.6,13072,11941,12726,15193,13421,11779,10770
11923,10672,11230,9327.8,10558,11158,9483.6,10197,10605,10301,11830,10981,10055,9142.1,10027,10020,9235,9996.1,9469.5,9986.5,9407.4,11302,10856,9427.8,12345,12597,13789,13479,10539,11868,8155.1,9928.8,7300.7,9816.7,12637,10591,10686,10516,10416,9678,10005,11891,11239,11898,11862,14915,11640,13322,11571,10432,11103,11002,9449.3,10098,11195,11029,10030,9863.9,10518,11181,10528,9619.3,9384,8997.1,8652.2,9958.6,9346.3,8988.3,9075.4,9079.3,9318.8,10993,11609,9294.1,9385.3,12552,10466,12673,8607.5,10516,8850,8819.4,12243,12724,13934,11737,10913,14089,10026,8924.5,8368.5,11366,9644.2,13120,11914,12734,15180,13393,11651,10730
11990,10720,11258,9342.2,10519,11129,9473.1,10216,10619,10309,11692,11028,10018,9106.2,10026,10043,9267.3,10035,9452.5,10011,9419.4,11380,10878,9455.8,12389,12631,13852,13465,10583,11834,8158.6,9967.2,7319.6,9854.8,12737,10639,10759,10484,10435,9669.9,10001,11911,11279,12001,11893,14934,11652,13359,11635,10436,11267,11006,9430.4,10105,11173,11004,10026,9873.4,10536,11158,10507,9535.3,9339,8983.1,8668.4,9968.8,9372.6,9019,9104.5,9075.5,9323.5,10991,11677,9303.1,9392.3,12515,10452,12671,8642.3,10530,8822.6,8777.8,12238,12738,13969,11738,10949,14099,10011,8879.6,8355.3,11406,9647.9,13102,11987,12726,15184,13418,11657,10723
11953,10717,11307,9356.2,10498,11135,9510.7,10255,10630,10294,11813,11046,10060,9115.1,10031,10037,9258.3,10014,9445.5,9995.8,9369.6,11321,10849,9428.2,12318,12614,13792,13443,10568,11836,8132.7,9941.1,7308.6,9782,12644,10674,10756,10516,10416,9691.5,9961,11949,11249,11959,11867,14879,11596,13266,11581,10442,11227,11035,9433.5,10082,11193,11053,10068,9881.9,10550,11183,10572,9626.4,9385.7,8992.3,8634.1,9967.3,9370.8,9003.3,9065.7,9098.3,9310.4,11002,11662,9338.7,9400.4,12585,10464,12658,8682.5,10522,8802.1,8730.8,12216,12702,13924,11678,10877,14114,10050,8858.1,8302.8,11405,9655,13045,12037,12707,15160,13344,11725,10749
11998,10732,11304,9362.6,10510,11172,9558.3,10279,10625,10373,11745,11034,10068,9105.3,10029,10062,9255.6,10097,9457.2,10054,9454.3,11291,10858,9450.3,12431,12576,13815,13430,10611,11861,8161.6,9940.8,7310.4,9832.1,12646,10740,10768,10517,10408,9701.7,9997.5,11951,11231,11993,11882,14926,11605,13302,11647,10478,11199,10997,9455,10109,11192,11024,10091,9889.1,10566,11178,10541,9590.9,9416.4,8973.8,8713.5,9951.5,9405.9,9030.9,9095.2,9133.9,9318.1,10963,11671,9345.8,9404.2,12544,10467,12702,8635.6,10527,8800.5,8792.4,12194,12673,13937,11714,10911,14093,10092,8895.9,8339,11439,9663,13014,11943,12751,15168,13409,11792,10789
12011,10716,11310,9400.3,10549,11253,9560.2,10269,10671,10369,11840,11039,10042,9158.9,10023,10070,9278.7,10098,9488.6,10089,9477.3,11299,10878,9482.6,12433,12604,13826,13499,10529,11871,8149.9,10001,7319.4,9812,12638,10723,10922,10562,10393,9696.2,10038,11938,11227,12057,11860,14943,11639,13364,11723,10525,11256,11031,9484.5,10150,11211,11086,10088,9938,10553,11243,10507,9603,9372.9,8981.2,8675.8,9965.6,9410.6,9050.1,9108,9161.9,9384.5,10950,11657,9357.7,9399.4,12503,10489,12704,8644.5,10512,8818,8816.3,12217,12694,13975,11727,10930,14052,10095,8929.6,8386.8,11409,9671.5,13041,11932,12761,15196,13447,11838,10868
11969,10698,11240,9369.6,10574,11183,9564.9,10282,10695,10365,11769,11059,10055,9152.6,10041,10077,9317.5,10108,9534.5,10080,9491.4,11302,10871,9463.3,12381,12581,13835,13535,10569,11895,8149.1,9953.7,7299.1,9841.7,12652,10754,10881,10580,10429,9686.9,10063,11957,11223,12112,11874,14987,11662,13351,11740,10594,11274,11036,9494.5,10101,11209,11111,10067,9899.2,10546,11144,10563,9598.2,9327.8,8967.7,8691.5,9982.1,9400.4,9060.6,9114.8,9147.2,9359.9,10956,11663,9353.9,9413.2,12530,10490,12663,8621.6,10523,8781.9,8810.2,12179,12727,13960,11710,10923,14101,10133,8918,8349.5,11388,9648.8,13122,11926,12781,15184,13471,11879,10818
11989,10690,11306,9393.8,10541,11208,9546.7,10264,10686,10328,11768,11044,10011,9150.9,10027,10046,9299.2,10063,9564.1,10087,9512.6,11293,10865,9466.3,12422,12643,13829,13534,10538,11931,8129.3,9970.4,7293.5,9838.8,12649,10746,10987,10580,10428,9657.4,10063,12009,11294,12131,11875,15016,11709,13439,11813,10641,11175,11011,9485.6,10122,11248,11050,10064,9892.7,10542,11232,10528,9548.2,9346.4,8977.4,8674.5,9975.8,9396.4,9040.7,9109.5,9133.5,9350.6,10949,11667,9323.4,9405.7,12493,10503,12712,8558.1,10551,8826.7,8825.4,12194,12675,13931,11731,10953,14117,10090,8946,8372.7,11394,9659.8,13138,11933,12769,15184,13471,11862,10845
11957,10698,11252,9396.5,10530,11199,9554.5,10256,10680,10320,11796,11047,10030,9178.4,10012,10056,9304.3,10027,9574.1,9999.2,9486,11307,10843,9428.4,12393,12600,13771,13481,10534,11877,8163.1,9935.6,7297.1,9783,12585,10670,10915,10564,10436,9659.4,10093,11978,11238,12155,11889,15019,11704,13425,11701,10632,11238,11015,9469.2,10138,11223,11071,10039,9888.9,10505,11175,10487,9529.4,9380,8969.1,8660.8,9963.6,9390.6,9006.6,9090.3,9105.3,9310.9,10919,11653,9292.7,9356.9,12503,10461,12623,8581.1,10546,8779.9,8809.3,12190,12633,13890,11739,10879,14107,10043,8935.1,8348.6,11396,9628.2,13102,11905,12828,15219,13463,11897,10901
11999,10699,11282,9380.4,10516,11148,9507.6,10218,10643,10273,11713,11052,10014,9151.6,9966.4,9996.7,9272.4,10003,9526.9,9986.4,9434.2,11256,10870,9416.6,12354,12566,13773,13459,10529,11887,8141.8,9922.8,7299.6,9799.1,12632,10664,10887,10516,10376,9627.8,10050,11912,11179,12116,11855,14972,11665,13440,11760,10624,11182,11021,9442.2,10099,11228,11098,10034,9880.6,10506,11127,10558,9555.5,9420.8,8957.3,8658.8,9953.8,9346.2,9045.3,9086.2,9087.1,9311.6,10948,11650,9261.2,9373.2,12512,10463,12721,8558.8,10518,8815.7,8830.2,12232,12654,13938,11715,11079,14112,10058,8949.7,8374.4,11374,9632.8,13134,11857,12839,15167,13494,11815,10889
