combo,final_tag,seq_len,stride,cluster_id,status,n_train,n_val,n_test,final_train_loss,final_val_loss,final_test_loss,n_latents,latent_split,elapsed_s,latents_path,checkpoint_dir
seq6_st1_z,seq6_st1_z_ep50,6,1,0,ok,76,9,9,0.07177198926607768,0.061863984912633896,0.05574672669172287,94,train_val_test,9.504384994506836,/Users/mac/Desktop/code/MTAD-GAT/visualization_ver2/final_runs/seq6_st1_z_ep50/latents_seq6_st1_z_ep50_cluster0.npy,/Users/mac/Desktop/code/MTAD-GAT/checkpoint/brainlm_v2/final_runs/seq6_st1_z_ep50/cluster_0
seq6_st1_z,seq6_st1_z_ep50,6,1,1,ok,92,12,12,0.05878293514251709,0.058500736951828,0.062023431062698364,116,train_val_test,6.230104684829712,/Users/mac/Desktop/code/MTAD-GAT/visualization_ver2/final_runs/seq6_st1_z_ep50/latents_seq6_st1_z_ep50_cluster1.npy,/Users/mac/Desktop/code/MTAD-GAT/checkpoint/brainlm_v2/final_runs/seq6_st1_z_ep50/cluster_1
seq6_st1_z,seq6_st1_z_ep50,6,1,2,ok,53,7,7,0.08419864997267723,0.10908552259206772,0.0790167972445488,67,train_val_test,7.342024803161621,/Users/mac/Desktop/code/MTAD-GAT/visualization_ver2/final_runs/seq6_st1_z_ep50/latents_seq6_st1_z_ep50_cluster2.npy,/Users/mac/Desktop/code/MTAD-GAT/checkpoint/brainlm_v2/final_runs/seq6_st1_z_ep50/cluster_2
seq6_st1_z,seq6_st1_z_ep50,6,1,3,ok,9,1,1,0.29359856247901917,0.3141680955886841,0.36743664741516113,11,train_val_test,4.436431884765625,/Users/mac/Desktop/code/MTAD-GAT/visualization_ver2/final_runs/seq6_st1_z_ep50/latents_seq6_st1_z_ep50_cluster3.npy,/Users/mac/Desktop/code/MTAD-GAT/checkpoint/brainlm_v2/final_runs/seq6_st1_z_ep50/cluster_3
