Time,12025,10312,11524,8949.2,10028,11373,8896.2,10079,11221,9466.7,11572,10126,8447.5,8400.4,9995.1,9414.3,8129,9632.6,8182.2,9872.3,9066.9,10137,10198,8734.8,12027,12301,13237,13444,11064,11450,7414.1,9499,5734.5,9426.9,11845,11129,12747,9591.9,9209.3,8484.7,8812.1,11766,11100,11047,11301,14213,10613,13014,12590,11592,11328,11235,9151,9522,11127,11972,10170,11164,10709,11243,10993,9293.9,8280.2,7924.6,8466.7,9334.4,9572.3,8376.8,8583.5,9455.2,9163.8,10044,9741.1,9454,9596.2,12331,10803,12422,7884.9,10820,8907.9,9250.6,11638,11042,11323,9971.6,12242,13972,10874,9274.5,7657.1,12646,10015,12368,11892,11491,12982,12140,12444,11791,Pred_Global
65,11961,10361,11564,8996.3,10031.0,11482,8918.7,10119.0,11327,9551.4,11685,10148,8510.6,8412.9,9984.1,9473.5,8109.5,9654.5,8166.1,9935.8,9041.7,10151,10168,8756.6,12057,12264,13284,13400,11235,11470,7397.4,9521.6,5722.8,9488.2,11879,11244,12866,9586.9,9240.7,8519.7,8809.5,11764,11058,11129,11338,14222,10650,13049,12750,11726,11309,11244,9207.3,9588.9,11222,12046,10165.0,11207,10799,11258,11004,9352.4,8342.9,7928.5,8475.5,9310.2,9606.0,8394.2,8617.0,9470.1,9178.3,10034.0,9712.6,9534.8,9670.2,12289,10856,12403,7894.4,10825,8953.5,9310.3,11704,11103,11338,9944.3,12321,13992,10942,9267.4,7675.6,12714,10076.0,12352,11845,11543,12945,12096,12370,11956,0.0
66,12021,10375,11560,8984.4,10059.0,11446,8902.3,10104.0,11295,9542.0,11683,10148,8494.5,8396.5,9980.0,9461.8,8105.1,9644.2,8127.3,9905.3,9040.9,10136,10168,8751.4,12061,12297,13256,13428,11174,11458,7432.4,9519.4,5724.3,9469.2,11886,11223,12825,9618.3,9227.1,8507.0,8804.5,11823,11044,11090,11337,14213,10672,13008,12753,11650,11322,11238,9198.0,9557.6,11187,12082,10151.0,11196,10803,11271,11026,9335.1,8299.3,7922.8,8453.7,9309.5,9587.5,8382.1,8592.1,9457.4,9154.2,10029.0,9699.4,9513.8,9631.3,12285,10775,12402,7821.3,10832,8914.9,9290.2,11650,11043,11288,9947.5,12361,13929,10925,9267.0,7655.2,12687,10078.0,12351,11841,11562,12972,12104,12401,11887,0.0
67,12009,10378,11544,8956.7,10054.0,11428,8905.9,10120.0,11290,9539.5,11614,10153,8474.8,8385.0,9956.1,9443.1,8089.6,9625.7,8134.1,9869.0,9043.9,10140,10146,8739.9,12091,12334,13265,13445,11126,11436,7393.1,9500.4,5710.4,9464.7,11880,11201,12794,9620.9,9261.3,8508.3,8794.7,11790,11081,11091,11322,14220,10648,13022,12707,11628,11318,11218,9172.2,9554.0,11225,11973,10156.0,11201,10802,11206,11007,9324.1,8282.1,7874.1,8453.6,9290.9,9563.8,8377.1,8551.4,9440.1,9131.7,10030.0,9677.1,9533.0,9614.5,12257,10783,12420,7841.9,10837,8888.7,9260.8,11645,11014,11300,9923.7,12263,13988,10887,9272.7,7646.1,12718,10083.0,12425,11856,11516,12965,12090,12385,11899,0.0
68,12008,10348,11523,8951.6,10065.0,11438,8893.4,10106.0,11268,9542.5,11600,10174,8473.4,8378.9,9966.6,9423.7,8099.2,9593.0,8120.5,9847.0,9019.5,10116,10170,8720.5,12009,12304,13272,13453,11110,11461,7372.8,9522.3,5727.8,9441.3,11851,11187,12792,9619.1,9236.1,8502.8,8805.0,11804,11090,11099,11308,14218,10640,13011,12686,11649,11341,11259,9198.5,9555.6,11216,11980,10161.0,11189,10760,11269,10982,9314.4,8296.0,7902.4,8428.3,9298.2,9575.1,8373.0,8559.1,9437.0,9112.3,10005.0,9689.4,9500.1,9585.7,12285,10755,12427,7882.4,10850,8870.4,9279.2,11641,10976,11327,9943.9,12267,13904,10901,9278.6,7658.9,12675,10077.0,12372,11870,11572,12986,12077,12432,11888,0.0
69,11993,10324,11484,8933.5,10055.0,11369,8871.6,10072.0,11242,9499.0,11595,10152,8461.4,8354.5,9958.8,9425.1,8099.6,9578.3,8126.9,9864.6,9039.5,10102,10169,8728.1,12035,12283,13261,13435,11152,11402,7404.6,9498.1,5737.1,9395.0,11837,11163,12733,9596.9,9221.7,8490.2,8778.4,11771,11048,11077,11290,14215,10638,13022,12706,11624,11278,11196,9185.0,9519.1,11177,12017,10133.0,11151,10778,11263,11052,9312.7,8241.5,7900.5,8420.3,9303.8,9557.3,8355.4,8525.2,9387.6,9101.7,9982.8,9663.9,9489.8,9576.9,12278,10783,12375,7860.0,10847,8844.7,9234.6,11631,10969,11259,9938.5,12246,13974,10854,9269.5,7659.9,12666,10028.0,12351,11813,11558,12957,12065,12466,11862,0.0
70,12020,10389,11526,8905.2,10029.0,11371,8879.5,10053.0,11187,9517.9,11629,10162,8466.9,8366.6,9979.8,9417.2,8112.2,9593.6,8150.6,9866.6,9033.1,10110,10177,8733.4,12087,12290,13232,13450,11134,11472,7365.3,9507.8,5707.7,9400.7,11836,11160,12713,9613.7,9223.1,8497.0,8786.4,11746,11057,11126,11288,14200,10602,12975,12618,11607,11364,11195,9185.3,9507.0,11142,11931,10123.0,11131,10782,11256,11025,9318.2,8253.3,7905.2,8430.4,9332.9,9547.1,8364.7,8530.4,9400.8,9124.2,9970.6,9689.4,9472.2,9593.6,12325,10768,12393,7837.5,10860,8848.5,9229.5,11594,10963,11265,9920.2,12213,13946,10853,9280.8,7640.1,12678,10089.0,12315,11833,11503,12967,12098,12401,11862,0.0
71,12035,10341,11488,8886.9,10027.0,11396,8863.5,10027.0,11175,9536.0,11679,10175,8488.7,8369.6,9999.7,9407.2,8104.2,9600.2,8137.4,9861.8,9070.3,10104,10178,8735.9,12020,12353,13200,13444,11107,11416,7397.2,9487.0,5706.1,9417.5,11844,11149,12775,9601.0,9219.1,8501.9,8777.9,11737,11039,11068,11272,14224,10622,12972,12685,11603,11321,11160,9146.8,9488.0,11132,11998,10101.0,11113,10795,11325,11048,9331.5,8254.8,7890.9,8442.4,9313.9,9567.7,8348.0,8535.8,9399.0,9142.7,9999.5,9679.7,9493.9,9645.6,12341,10759,12413,7865.3,10865,8860.1,9216.1,11609,10978,11299,9903.3,12299,13938,10840,9265.4,7672.3,12657,10058.0,12341,11830,11532,12963,12056,12377,11872,0.0
72,12081,10309,11495,8883.1,9951.6,11313,8881.2,10009.0,11175,9547.5,11653,10177,8497.5,8395.8,10005.0,9419.7,8137.7,9615.2,8160.1,9874.7,9040.2,10130,10157,8746.2,12050,12332,13212,13447,11201,11441,7428.0,9506.2,5705.3,9440.6,11812,11186,12705,9612.9,9233.0,8518.5,8791.8,11773,11051,11070,11268,14202,10590,12978,12817,11629,11299,11182,9127.5,9463.0,11046,12001,10070.0,11127,10823,11286,11050,9350.9,8255.2,7931.2,8459.1,9334.6,9584.3,8353.7,8526.6,9422.5,9177.3,10010.0,9695.9,9513.1,9632.9,12346,10737,12424,7842.6,10854,8844.9,9240.1,11589,10994,11253,9914.2,12260,13948,10852,9293.1,7651.8,12707,10067.0,12359,11822,11546,12969,12057,12483,11895,0.0
73,12009,10295,11529,8885.3,9975.8,11382,8870.0,10011.0,11169,9527.3,11678,10139,8494.6,8381.6,9982.9,9426.7,8109.3,9598.5,8159.5,9866.6,9058.6,10120,10163,8729.6,12062,12320,13205,13474,11167,11364,7398.8,9542.9,5702.8,9455.2,11873,11203,12838,9620.3,9191.8,8515.3,8795.4,11774,11090,11119,11276,14211,10614,12995,12707,11615,11341,11160,9144.3,9465.6,11150,11966,10077.0,11090,10807,11253,11051,9360.8,8268.7,7908.0,8450.5,9318.0,9609.3,8387.0,8554.9,9423.4,9128.6,10010.0,9687.2,9495.3,9637.4,12333,10751,12414,7838.9,10836,8853.6,9259.2,11599,11009,11263,9907.7,12276,13952,10835,9267.6,7693.7,12709,10065.0,12344,11809,11554,12972,12068,12439,11931,0.0
74,12039,10264,11474,8868.2,9993.3,11364,8856.3,9996.4,11164,9541.4,11577,10158,8475.0,8394.0,9968.6,9418.0,8092.7,9605.6,8141.9,9871.7,9059.4,10122,10151,8703.2,12068,12260,13226,13437,11151,11380,7415.8,9544.1,5741.8,9442.2,11832,11197,12828,9629.3,9195.8,8507.0,8813.8,11760,11071,11116,11295,14223,10607,13000,12676,11647,11275,11117,9162.4,9461.6,11086,11967,10051.0,11106,10787,11297,11027,9345.3,8269.9,7928.2,8462.4,9308.8,9583.8,8382.7,8529.2,9446.4,9144.9,9969.7,9696.1,9492.8,9611.7,12294,10786,12386,7807.5,10875,8853.6,9277.3,11596,11000,11248,9901.3,12262,13906,10846,9280.9,7675.5,12683,10053.0,12350,11808,11571,12940,12078,12470,11884,0.0
75,12067,10299,11502,8889.9,9972.8,11388,8863.2,9999.7,11171,9516.5,11653,10140,8490.6,8387.2,9984.5,9413.9,8083.7,9606.4,8168.2,9858.9,9050.4,10112,10170,8723.5,12044,12215,13165,13419,11146,11385,7426.8,9535.9,5734.4,9432.7,11849,11143,12798,9624.4,9211.3,8512.3,8818.4,11801,11073,11097,11262,14210,10577,13010,12801,11645,11302,11137,9130.7,9464.7,11100,11943,10067.0,11094,10766,11290,11007,9353.7,8257.6,7925.0,8448.8,9329.4,9590.5,8382.8,8544.7,9421.7,9131.7,9984.0,9655.1,9516.2,9603.4,12308,10797,12369,7876.1,10839,8853.3,9282.5,11594,11003,11242,9905.5,12252,13942,10849,9300.9,7676.6,12715,10070.0,12358,11846,11546,12986,12075,12446,11893,0.0
76,12041,10317,11561,8876.1,9993.4,11362,8881.1,10025.0,11176,9523.5,11609,10130,8495.4,8394.8,9992.9,9430.2,8095.8,9591.7,8153.1,9886.4,9054.5,10140,10162,8736.9,12058,12298,13183,13447,11121,11445,7372.5,9565.8,5749.8,9450.2,11847,11126,12743,9642.1,9218.0,8545.5,8825.1,11792,11086,11065,11296,14236,10611,13003,12734,11664,11325,11206,9155.8,9475.5,11147,12019,10079.0,11120,10762,11321,11011,9350.5,8264.6,7913.7,8444.1,9335.0,9600.1,8357.3,8547.8,9435.3,9161.7,10007.0,9682.1,9500.9,9608.5,12326,10799,12375,7905.0,10867,8916.3,9278.1,11616,11013,11243,9935.6,12137,13961,10846,9309.3,7683.9,12700,10074.0,12397,11873,11549,13002,12080,12518,11871,0.0
77,12047,10346,11480,8864.0,10016.0,11381,8877.2,10025.0,11187,9526.5,11620,10138,8513.5,8389.3,9992.0,9433.9,8085.6,9584.0,8177.0,9860.3,9058.7,10122,10171,8700.8,12049,12258,13209,13470,11150,11435,7398.2,9553.6,5749.4,9453.3,11834,11103,12581,9633.9,9239.1,8527.8,8836.6,11786,11104,11098,11295,14242,10659,13004,12765,11679,11339,11215,9131.2,9452.0,11107,11951,10072.0,11096,10757,11289,10984,9375.2,8269.3,7934.5,8454.7,9317.1,9595.4,8368.9,8535.1,9418.3,9105.4,9995.4,9674.9,9512.7,9578.2,12278,10768,12371,7893.4,10871,8914.1,9272.6,11595,11009,11263,9937.1,12294,13929,10842,9312.4,7694.6,12713,10067.0,12420,11877,11578,12994,12076,12465,11910,0.0
78,12031,10323,11511,8835.4,9994.7,11428,8862.0,10004.0,11169,9520.0,11601,10159,8517.2,8384.1,9994.8,9424.7,8105.5,9597.2,8166.9,9860.4,9079.0,10093,10144,8718.6,12041,12264,13222,13448,11164,11466,7422.8,9558.3,5757.4,9410.2,11831,11101,12699,9641.8,9242.3,8533.0,8829.9,11771,11098,11107,11272,14238,10633,13032,12767,11662,11367,11165,9150.1,9441.2,11127,11975,10055.0,11105,10769,11238,11012,9373.2,8257.4,7928.5,8451.8,9347.4,9616.3,8364.3,8531.7,9420.5,9148.4,10005.0,9687.9,9504.2,9579.1,12309,10808,12383,7888.2,10904,8897.7,9264.7,11593,11003,11259,9938.2,12300,13931,10824,9328.0,7680.4,12727,10072.0,12381,11910,11554,13006,12085,12444,11912,0.0
79,12100,10290,11497,8811.1,9996.6,11357,8878.8,9981.3,11151,9523.2,11624,10143,8501.4,8392.9,9997.4,9420.4,8084.3,9604.2,8150.6,9869.4,9050.0,10115,10174,8718.8,12051,12310,13192,13444,11165,11434,7375.9,9533.2,5735.2,9409.0,11821,11097,12717,9639.7,9228.3,8548.8,8828.6,11825,11104,11113,11273,14243,10642,13024,12717,11657,11288,11163,9138.9,9402.2,11086,11957,10027.0,11057,10753,11296,11013,9359.0,8281.3,7930.0,8460.2,9336.6,9619.3,8380.5,8526.6,9416.9,9125.5,10002.0,9693.4,9515.5,9568.0,12301,10760,12414,7917.9,10877,8907.6,9283.7,11598,10997,11258,9952.4,12108,13895,10838,9341.2,7706.4,12717,10084.0,12414,11897,11617,12986,12093,12434,11879,0.0
80,12085,10280,11434,8805.1,9993.0,11354,8849.8,9990.0,11173,9512.7,11660,10154,8516.3,8403.2,10006.0,9433.3,8113.6,9596.1,8172.9,9880.7,9060.3,10158,10175,8739.3,12071,12339,13216,13475,11152,11441,7401.5,9575.5,5761.2,9401.6,11823,11139,12764,9646.1,9260.2,8545.7,8821.4,11827,11135,11092,11275,14253,10657,13024,12766,11599,11332,11156,9152.1,9411.2,11107,11985,10043.0,11080,10793,11331,11044,9355.7,8286.2,7946.6,8442.8,9353.6,9598.5,8374.7,8547.0,9412.5,9148.8,10037.0,9695.9,9512.4,9606.6,12337,10779,12431,7851.6,10864,8929.7,9257.6,11619,11041,11260,9936.0,12289,13999,10856,9311.6,7682.2,12720,10093.0,12424,11917,11597,13007,12107,12387,11883,0.0
81,12041,10339,11523,8834.8,10026.0,11364,8881.4,10028.0,11205,9526.4,11611,10194,8528.8,8404.4,10008.0,9474.3,8134.9,9633.7,8166.5,9888.3,9072.1,10164,10197,8758.0,12092,12374,13255,13477,11189,11497,7426.5,9574.1,5728.4,9416.4,11849,11133,12690,9628.6,9283.4,8550.9,8818.0,11790,11096,11118,11319,14230,10661,13022,12749,11628,11378,11204,9176.6,9423.9,11110,12011,10072.0,11124,10796,11324,11045,9356.9,8311.0,7941.2,8454.5,9357.1,9611.3,8415.3,8586.1,9454.0,9147.0,10046.0,9719.8,9536.2,9647.2,12383,10812,12456,7810.3,10875,8958.2,9267.7,11625,11033,11296,9971.5,12261,13978,10866,9322.0,7707.6,12747,10085.0,12453,11929,11532,13013,12096,12526,11869,0.0
82,12061,10310,11561,8879.5,10018.0,11429,8903.6,10036.0,11248,9562.9,11630,10192,8524.5,8419.5,10026.0,9469.2,8150.6,9636.3,8161.7,9919.2,9073.4,10170,10210,8765.6,12089,12369,13321,13499,11261,11486,7401.4,9553.6,5722.6,9444.5,11836,11170,12770,9619.2,9282.3,8569.5,8811.1,11811,11069,11047,11310,14229,10648,12979,12714,11677,11354,11266,9201.7,9460.4,11119,12044,10105.0,11148,10808,11311,11074,9383.9,8303.9,7959.3,8465.1,9361.4,9621.5,8406.4,8567.1,9455.3,9169.4,10045.0,9736.3,9555.7,9646.4,12402,10827,12461,7874.7,10893,8959.0,9251.5,11652,11041,11345,9976.3,12204,14060,10920,9298.6,7648.7,12729,10114.0,12391,11902,11535,13027,12105,12419,11863,0.0
83,12042,10356,11592,8913.4,9995.8,11382,8923.3,10059.0,11261,9541.0,11610,10199,8543.1,8416.0,10056.0,9480.4,8164.9,9657.3,8200.5,9894.2,9091.0,10159,10251,8774.2,12071,12363,13293,13493,11211,11556,7417.0,9518.8,5759.1,9424.7,11852,11224,12701,9627.4,9276.3,8543.5,8810.6,11799,11059,11045,11300,14229,10665,13021,12699,11647,11315,11260,9212.5,9484.5,11160,12054,10139.0,11146,10814,11311,11053,9354.3,8301.2,7950.7,8490.8,9359.7,9619.0,8443.4,8595.0,9479.5,9203.5,10069.0,9741.3,9557.2,9663.3,12328,10815,12438,7809.4,10832,8953.6,9240.9,11645,11052,11345,9969.5,12232,14023,10876,9311.1,7650.2,12703,10093.0,12395,11830,11549,13005,12088,12437,11827,0.0
84,12016,10365,11572,8942.1,10055.0,11419,8896.0,10072.0,11253,9538.2,11666,10177,8534.7,8424.3,10056.0,9467.0,8163.6,9660.6,8204.9,9896.3,9090.0,10151,10225,8751.4,12094,12320,13320,13507,11185,11468,7418.8,9541.4,5690.8,9431.1,11823,11195,12777,9611.1,9275.9,8529.5,8784.6,11753,11037,11059,11306,14213,10655,13014,12613,11600,11320,11232,9215.2,9520.9,11156,12021,10160.0,11156,10815,11315,11103,9363.7,8308.1,7937.7,8480.3,9365.6,9604.4,8399.3,8584.7,9479.7,9211.5,10035.0,9742.8,9520.6,9671.5,12360,10859,12447,7868.5,10858,8959.3,9216.7,11695,11029,11366,9928.7,12232,13970,10878,9259.8,7629.8,12707,10085.0,12412,11831,11532,12976,12083,12409,11806,0.0
85,12024,10340,11483,8948.1,9999.9,11406,8904.7,10051.0,11240,9540.6,11659,10170,8493.8,8410.8,10020.0,9461.4,8129.8,9653.9,8181.7,9904.8,9084.7,10118,10216,8736.1,12096,12297,13318,13493,11169,11492,7401.1,9516.4,5730.6,9436.8,11829,11241,12793,9594.8,9229.0,8498.6,8786.4,11736,11022,11080,11328,14210,10663,13019,12590,11585,11343,11231,9219.5,9537.5,11137,11972,10126.0,11148,10809,11302,11081,9360.0,8331.7,7935.1,8482.0,9358.1,9581.5,8417.7,8575.5,9468.3,9168.2,10015.0,9740.0,9494.9,9642.8,12330,10874,12426,7848.9,10805,8915.5,9196.0,11659,11008,11342,9921.0,12363,13997,10882,9236.8,7634.3,12677,10071.0,12324,11768,11550,12928,12092,12335,11812,0.0
86,12024,10318,11502,8956.0,9955.3,11355,8894.2,10049.0,11230,9508.3,11622,10140,8473.2,8416.6,10023.0,9435.1,8143.2,9634.5,8194.1,9882.9,9094.3,10107,10186,8713.9,12049,12326,13297,13473,11197,11459,7358.8,9512.0,5684.7,9448.8,11836,11216,12743,9565.9,9197.4,8473.7,8782.6,11714,11010,11090,11357,14215,10644,13034,12600,11635,11409,11171,9202.0,9506.4,11116,11997,10117.0,11121,10757,11302,11028,9341.0,8295.4,7943.5,8472.1,9338.7,9566.6,8413.4,8598.4,9466.3,9179.4,9988.6,9725.5,9457.8,9626.0,12336,10818,12390,7751.3,10837,8874.3,9223.8,11682,10992,11352,9911.2,12192,13932,10881,9235.0,7607.4,12671,10019.0,12349,11731,11552,12953,12098,12384,11873,0.0
87,11959,10328,11502,8944.2,9971.5,11396,8887.0,10048.0,11214,9538.1,11628,10141,8493.5,8407.5,9992.4,9431.6,8099.5,9641.1,8199.2,9885.9,9084.1,10099,10198,8714.5,12041,12282,13316,13465,11150,11454,7384.2,9515.4,5705.3,9435.1,11820,11215,12859,9588.0,9188.9,8460.3,8786.0,11792,11000,11051,11337,14205,10636,13056,12758,11635,11310,11174,9171.5,9511.2,11123,12049,10105.0,11152,10774,11310,11045,9350.1,8294.8,7935.9,8464.2,9346.8,9557.2,8404.2,8566.0,9450.5,9176.9,9985.9,9704.4,9446.6,9606.7,12281,10757,12410,7837.0,10841,8876.3,9238.3,11653,10977,11346,9901.0,12419,13920,10872,9223.0,7631.8,12660,10028.0,12369,11770,11500,12925,12087,12410,11879,0.0
88,12010,10321,11511,8947.8,9973.4,11384,8897.0,10046.0,11233,9539.6,11668,10155,8469.8,8420.7,10013.0,9417.2,8101.1,9625.9,8193.8,9881.1,9080.3,10122,10189,8719.6,12077,12355,13279,13474,11216,11458,7356.4,9483.0,5709.2,9429.1,11809,11223,12854,9585.1,9174.5,8484.3,8797.1,11723,11027,11110,11333,14218,10622,13033,12700,11652,11320,11191,9151.3,9495.6,11143,11987,10087.0,11125,10791,11299,11036,9365.2,8319.3,7924.3,8434.5,9350.9,9556.0,8395.4,8560.9,9457.6,9144.0,9999.7,9700.2,9455.9,9623.0,12308,10789,12407,7810.6,10822,8900.6,9258.1,11629,11016,11311,9924.2,12258,14006,10910,9251.2,7635.3,12648,10058.0,12350,11795,11552,12926,12110,12467,11886,0.0
89,12069,10306,11484,8939.9,10010.0,11405,8881.4,10050.0,11227,9516.3,11573,10186,8502.8,8410.1,9990.7,9429.4,8103.4,9623.9,8175.4,9862.1,9044.8,10123,10155,8715.7,12029,12302,13293,13496,11204,11397,7358.2,9523.1,5724.0,9440.1,11816,11235,12867,9594.1,9174.9,8483.3,8804.0,11755,11031,11099,11337,14200,10638,13038,12725,11708,11347,11196,9183.0,9521.7,11186,11998,10094.0,11145,10758,11330,11034,9365.9,8308.2,7940.8,8425.1,9338.8,9579.3,8376.0,8583.3,9449.1,9145.6,10014.0,9674.4,9460.4,9618.0,12339,10815,12379,7873.9,10837,8915.0,9288.5,11645,11023,11329,9939.8,12332,13925,10912,9277.6,7650.8,12678,10037.0,12407,11804,11532,12926,12130,12395,11925,0.0
