cm_type,use_fisher_z,n_samples,n_dim,k,inertia,silhouette,cluster_sizes,cluster_size_min,cluster_size_max
pearson_r,False,308,4950,4,1021398.1875,0.0,"{np.int32(0): np.int64(81), np.int32(1): np.int64(103), np.int32(2): np.int64(70), np.int32(3): np.int64(54)}",54,103
fisher_z,True,308,4950,4,981065.125,0.0,"{np.int32(0): np.int64(98), np.int32(1): np.int64(121), np.int32(2): np.int64(73), np.int32(3): np.int64(16)}",16,121
